Title,Company,City,State,Description,Skills,Experience,Job URL
Senior Data Business Analyst,West Recruitment,Sydney Western Suburbs,NSW,"Gather and document data requirements from stakeholders
Analyze data, identify trends, and create informative dashboards
5+ years experience in data projects, Tableau proficiency required","C, R, Tableau",5,https://au.jora.com/job/Data-Business-Analyst-a453550f26c4b7b14689acc4e2093e99
Principal Data Analyst,Randstad,Brisbane,QLD,"Lead development and implementation of business intelligence solutions
Provide strategic advice on data collection, management, and analysis
Supervise team activities, ensure data quality standards and timelines","C, R",,https://au.jora.com/job/Data-Analyst-5a09e1896a7d796caf7424cf1664c5c5
Data Analyst,Healius,Sydney,NSW,"Analyze diverse datasets to uncover business insights
Develop dashboards using Power BI, Excel, and SQL skills
Tertiary qualification in related discipline with 2-3 years experience","C, Excel, Power BI, R, SQL",3,https://au.jora.com/job/Data-Analyst-0deb312a0db8c16df379ca6f21aef6f6
Senior Data Analytics Specialist,Hays Recruitment,Perth,WA,"Lead planning and design of performance data analysis projects
Provide comprehensive analysis and support for OT Business Unit
Skilled in data manipulation, modeling, and report writing","C, R",,https://au.jora.com/job/Data-Analytics-Specialist-cf6ececee843b4f5313820f6a464c842
Senior Data Analyst,Atturra,Adelaide,SA,"Evaluate and develop technical solutions for end-user business requirements
8+ years experience as Technical Data Analyst with strong technical skills
Knowledge of Agile, Dev Ops, BI, and data platform required","Agile, C, R",8,https://au.jora.com/job/Data-Analyst-9314685c40444b4d633ef3750c01dd5c
Senior Data Analyst,V/Line,Victoria,,"Utilize data to support project planning and strategic influence
Proficiency in MS Excel and Power BI; geospatial data experience
Experience in technical data analysis and rail infrastructure knowledge","C, Excel, Power BI, R",,https://au.jora.com/job/Data-Analyst-70dc05481b7ea8b6fb2d98c2f577e817
Data Scientist,Metcash,Macquarie Park,NSW,"Support business departments with data-driven insights and recommendations
Develop statistical algorithms, cleanse and evaluate large data sets
Degree in statistics/mathematics, experience in R, SQL, Power BI","C, Go, Power BI, R, SQL",,https://au.jora.com/job/Data-Scientist-766b2265ad5a49c60e002566746d6518
Marketing Data Analyst,Catch Group,Bentleigh East,VIC,"Provide data analytics and insights for marketing decision-making
Analyze trends, campaign responses, and define KPIs for initiatives
Experience with social media, revenue analysis, and BI tools","C, R, initiative",,https://au.jora.com/job/Marketing-Data-Analyst-c7ae2250fc5ce0b4303b53127d010208
Data Analyst / Scientist – Civil Rail Infrastructure,Titan Recruitment,Brisbane,QLD,"Support rail services provider in strategic asset management transition
Handle rail infrastructure data, assist in monthly analytics reporting
Update asset mapping, process metrics, maintain equipment registers","C, R, SSIS",,https://au.jora.com/job/Data-Analyst-eed0fa28ecaaf3c785f9c41a01fcb24d
Data Analyst,Miller Leith,Mount Waverley,VIC,"Manage ERP system integration and data migration initiatives
Coordinate with EDI providers and conduct testing for workflows
Provide actionable insights through PowerBI and ERP-driven analytics","C, R, initiative",,https://au.jora.com/job/Data-Analyst-aeff642cf0d56bae38d32800fcb254d7
Data and Insights Analyst,PICA Group,Brisbane,QLD,"Turn data into insights for informed decision-making and improvements
Create visualizations using Power BI, analyze trends and patterns
Bachelor's degree in IT, Business Analytics or related field","C, Power BI, R",,https://au.jora.com/job/Insights-Analyst-fdcaf3dafbf1b9b2ef16741f4634b210
Data Analyst (Procurement),Eden Ritchie Recruitment,Brisbane,QLD,"Utilize procurement fundamentals for meaningful business intelligence outputs
Apply analytical tools and techniques for data analysis and interpretation
Provide quality business intelligence advice to stakeholders and management","C, R",,https://au.jora.com/job/Data-Analyst-5d64156c24fa7482d80ea9ee979a62b1
Data and Reporting Analyst,IntoWork Australia,Melbourne,VIC,"Develop and maintain Power BI reports and data models
Utilize Azure Data Factory for data ingestion and transformation
Bachelor's degree in Data Science or related field required","Azure, C, Power BI, R",,https://au.jora.com/job/Data-and-Reporting-Analyst-81bb461a0608ae82be0941246f816597
Junior Data Analyst / Scientist,RDA Research,Sydney CBD,NSW,"Utilize SAS, SQL, and R for consumer data modeling
Collaborate with clients to provide analytical solutions
Contribute to expanding consumer data solutions in international markets","C, R, SAS, SQL",,https://au.jora.com/job/Data-Analyst-8087e1c8f5ab718589f5e79e4ce7e4f9
Data Analyst,Hays Recruitment,Sydney,NSW,"Analyze data to provide insights and support decision-making processes
Utilize data visualization tools and statistical techniques for analysis
Collaborate with teams to identify trends and improve business strategies","C, R",,https://au.jora.com/job/Data-Analyst-1e7dafffbfaf0748c0893c2f36e618d2
Data Analyst,Wizard Professional Services,Booragoon,WA,"Analyze sales, customer behavior, and inventory trends in retail
Create interactive dashboards using Power BI for key metrics
Collaborate with cross-functional teams to drive data-driven decisions","C, Power BI, R",,https://au.jora.com/job/Data-Analyst-eca552c5a59e5221f6a8722613d018f9
Reporting Analyst,Perigon Group,Brisbane,QLD,"Develop and maintain reports for finance and business stakeholders
Utilize SQL for data extraction and analysis from Oracle databases
Minimum 2 years' experience in reporting or data analysis role","C, Oracle, R, SQL",2,https://au.jora.com/job/Reporting-Analyst-b9ab6a4aac83aa7313a41f50254e3e6d
"Data Analyst - Data Regulation, Risk, and Protection",Capgemini,Melbourne,VIC,"Analyze data to ensure compliance with regulations and mitigate risks
Collaborate with departments to develop data management strategies
Bachelor's degree in Data Science or related field required","C, R",,https://au.jora.com/job/Data-Analyst-Data-7ea3458ac803d87504d19a98b6a1f021
Reporting Analyst,Digital Resources Australia Pty Ltd,Perth,WA,"Automate procurement dashboards using Power BI & Power Apps
Master Advanced Excel for data wrangling and visualization techniques
Collaborate with stakeholders to deliver impactful, accurate reports","C, Excel, Power BI, R",,https://au.jora.com/job/Reporting-Analyst-9cdfdce76e6e3c2c974f4aa2ca8d340c
Data Analyst,Queensland Government,Mackay,QLD,"Contribute to service planning through data analysis and interpretation
Develop and provide data analytics for clinical decision making
Work with staff to define problems and develop solutions","C, R, decision making",,https://au.jora.com/job/Data-Analyst-382ac37a2266436c55c14c96ec820db4
Vacancy for Senior Data Analyst at National Archives of Australia,Digital Preservation Coalition,Canberra,ACT,"Conduct data analysis and build visualizations for decision-making
Develop reports, infographics, and presentations for key business functions
Work on preserving digital information and enhancing archival management systems","C, Git, R",,https://au.jora.com/job/Data-Analyst-5e690d087007a8b14e2e751746fb2adf
Investment Analyst,Mark Kramer Agency Account,Sydney,NSW,"Translate technical concepts into easily understandable business concepts
Manage project stakeholders for metadata and data lineage
5+ years experience with Collibra, Informatica IDQ, and Power BI","C, Power BI, R",5,https://au.jora.com/job/Investment-Analyst-995a0005a73e822c0db23ec92b044abe
Data Analytics Graduate,Allianz,Sydney,NSW,"Join a rotational program for career development and growth
Fully funded education for Data Analytics qualifications available
Seeking candidates with strong communication, leadership, and data skills","C, R, communication, leadership",,https://au.jora.com/job/Data-Analytics-Graduate-fe48575abb1c3fd652673e34a705bd88
Analyst - RNA,WNS,Sutherland,NSW,"Analyze, code, develop, deploy, and test pricing data
Proficiency in programming, development, and testing is essential
Minimum 2-4 years technical experience; SAS, R, SQL skills","C, R, SAS, SQL",4,https://au.jora.com/job/Analyst-7d09eb273ffd3d0f7656c8509352f0f2
Binance Accelerator Program - Research Data Analyst,Binance,Sydney,NSW,"Analyze and interpret large volumes of transactional and customer data
Proficient in data engineering, modeling, and ETL with SQL, Python
Bachelor's degree in Computer Science or Math; 3 days commitment","C, ETL, Python, R, SQL",,https://au.jora.com/job/Research-Data-Analyst-87ed225cc941514314ecef6dbbbbd094
Lead Data Analyst,Recruitment Hive,Canberra,ACT,"Lead data analysis and visualisation for Defence statistics
Utilize Power BI, ROMAN, and other BI tools effectively
NV1 clearance required, potential to upgrade to PV clearance","C, Power BI, R",,https://au.jora.com/job/Data-Analyst-5c360cb50789fff27de21b9c81ef4f4c
Data Analyst,Hays Recruitment,Sydney CBD,NSW,"Develop dashboards and reports using Power BI and Power Query
Utilize AWS and Data Lake for data management tasks
Prepare ad-hoc analyses, identify risks, and present insights","AWS, C, Power BI, R",,https://au.jora.com/job/Data-Analyst-0a69fa94494a4e3c1e464a30c0d20c66
Business Data Analyst,Blackroc,Brisbane,QLD,"Analyzing business data and processes for improvement
Experience with PowerBI and business process improvement
Collaborating with cross-functional teams to deliver aligned solutions","C, R",,https://au.jora.com/job/Business-Data-Analyst-b10a59268dd1baa5ec7a3c266253c6f3
Senior Data Analyst – People Analytics,Crown Resorts,Southbank,VIC,"Enhance workforce understanding through data analytics and insights
Develop and maintain HR Business Intelligence Framework with stakeholders
Experience in people analytics, data modeling, SQL, Python, and HRIS","C, Python, R, SQL",,https://au.jora.com/job/Data-Analyst-1426cfbbcd1d32ef71a6939919b1c84c
Data Analyst,Queensland Catholic Education Commission,Brisbane,QLD,"Develop and maintain Power BI dashboards for data analysis
Bachelor's degree in relevant field required for data analysis
Support Senior Data Analyst in managing data requirements","C, Power BI, R",,https://au.jora.com/job/Data-Analyst-abeef14e0e425fc7ce5b88d11565e0f1
Senior Data Analyst,Hays Recruitment,Sydney CBD,NSW,"Analyze emissions and procurement data for climate team insights
Utilize SQL tools like Teradata SQL, Tableau, and Power BI
Collaborate with stakeholders, maintain data quality, and support team","C, Power BI, R, SQL, Tableau",,https://au.jora.com/job/Data-Analyst-d30f40557a82c43772993f4964e25ee2
Customer Insights Specialist,TalentLink,Brisbane,QLD,"Enhance customer experience through data analysis and insights
Manage Voice of Customer program and engage with stakeholders globally
Customer experience software experience, strong communication skills","C, R, communication",,https://au.jora.com/job/Customer-Insights-Specialist-4fbfe77aa1b3cec38ee857a3740197d8
Quantium Data Analytics Virtual Experience Program,Quantium,Adelaide,SA,"Learn data analytics from leading AI Firm
Virtual program exploring data insights and problem-solving
Opportunity to discover data analytics possibilities and innovations","C, R",,https://au.jora.com/job/Quantium-Data-Analytics-c1729e160d1c6dd85ae30fba2c646c56
Senior Data Management Analyst,Randstad,Brisbane,QLD,"Implement data management practices across enterprise data platforms
Utilize SQL, Databricks, and Python for automation and analysis
Collaborate with teams to ensure data governance and alignment","C, DataBricks, Go, Python, R, SQL",,https://au.jora.com/job/Data-Management-Analyst-a1780c61ca300fbad365bf31d971a321
Analyst - RNA,WNS,Sutherland,NSW,"Analyze, develop, and test pricing data with programming skills
Present trends and business cases to enable management decisions
Minimum 2 years technical experience in data analysis required","C, R",2,https://au.jora.com/job/Analyst-d078ddc245cffcc2adca3746d0e5f5cb
Principal Data Analyst - Service NSW Digital Services,Service NSW,Sydney CBD,NSW,"Deliver actionable business intelligence to SNSW Digital teams
Transform data into stories, insights, and visualizations for customers
Utilize tools like Excel, SQL, Tableau, Power BI for analytics","C, Excel, Git, Power BI, R, SQL, Tableau",,https://au.jora.com/job/Data-Analyst-6283a4c2af8208658212cf4f77f55a1d
Data Analyst - Financial Crime,Randstad,Sydney,NSW,"Support Financial Crime portfolio with accurate data analysis
Advanced SQL knowledge, data profiling, and root cause analysis
Experience in Financial Services, specifically Financial Crime, required","C, R, SQL",,https://au.jora.com/job/Data-Analyst-5ba7e8d6f731d075381d0ba70f00dc47
HRIS Data Analyst,Hays Recruitment,Sydney,NSW,"5+ years HRIS data analyst experience with data migrations
Proficiency in SQL, ETL, reporting (Tableau or Power BI)
Experience with leading HRIS platforms like Workday, Oracle HCM","C, ETL, Oracle, Power BI, R, SQL, Tableau",5,https://au.jora.com/job/Data-Analyst-5d5c2fba86524a05f1ac642e12391f32
Actuary / Data Scientist (x2) - APS4,Recruitment Hive,Sydney,NSW,"Extract, cleanse, and prepare data from multiple sources
Utilize SAS, Microsoft Office for data analysis and monitoring
Team collaboration, academic qualifications, programming experience required.","C, R, SAS, collaboration",,https://au.jora.com/job/Data-Scientist-f7a6b87adb184d2e73cbb316baef657b
PARTS BUSINESS DATA ANALYST,Liebherr,Alice Springs,NT,"Specialist in data analysis for Parts Business operations
Support Parts teams in system settings, forecast validation, inventory
Ensure KPIs are met through detailed sales and cost analysis","C, R",,https://au.jora.com/job/Business-Data-Analyst-833c988a26ba29ecfa768196b2c8aafa
Business Intelligence Analyst,Border Express,Albury,NSW,"Transform source data into user-friendly dashboards using Microsoft SQL
Deliver insights for strategic decision-making through data analysis
Collaborate with stakeholders to optimize visual data outputs","C, R, SQL",,https://au.jora.com/job/Business-Intelligence-Analyst-7431c0b71e3966593b8610eb70902046
Data Analyst,Cox Purtell,Sydney,NSW,"Develop data pipelines and conduct in-depth analyses for insights
Design experiments, build dashboards, and collaborate with stakeholders
8+ years analytics experience, proficiency in SQL, Tableau, Python/R","C, Python, R, SQL, Tableau",8,https://au.jora.com/job/Data-Analyst-a379f1d03c7c5304a8ea3035c4a7a31f
Senior Data & Bus Intelligence Analyst,"Department of Planning, Housing and Infrastructure NSW",Orange,NSW,"Deliver strategic data analytics, modelling, and dashboard reporting
Collaborate with technical and business stakeholders for decision-making
Advanced technical skills in Power BI, Alteryx, Microsoft SQL, Snowflake","Alteryx, C, Power BI, R, SQL, Snowflake",,https://au.jora.com/job/Intelligence-Analyst-56d43a6bcb81f0c41b578f3593a9659c
Loyalty Analyst,Jivaro,Victoria,,"Analyze loyalty program data to enhance customer experiences
Track performance metrics, analyze campaigns, and collaborate with teams
2+ years experience in loyalty or CRM, strong SQL skills","C, R, SQL",2,https://au.jora.com/job/Loyalty-Analyst-713f7e1f57511b2b8efab6f020486e2f
Tech Data Analyst,Hays Recruitment,Sydney CBD,NSW,"Collaborate with stakeholders to design, build, deploy data pipelines
Hands-on experience in data design, flows, layers, and semantics
Utilize SQL, Excel, Teradata, Cloudera Hadoop, Kafka, Ab Initio","C, Excel, Hadoop, Kafka, R, SQL",,https://au.jora.com/job/Data-Analyst-f5265bc3b3f071a7558093c3902537a5
Sales Data Analyst,TMGM,Sydney,NSW,"Transform complex data into actionable insights for sales team
Create reports, analyze KPIs, and develop data-driven forecasts
Bachelor's degree, proficiency in Excel, Python, and SQL preferred","C, Excel, Python, R, SQL",,https://au.jora.com/job/Sales-Data-Analyst-26a756b97badda18d935211ecfd712dc
Data Engineer,ALDI,Minchinbury,NSW,"Design and implement data pipelines using SQL, Spark, Python
Collaborate with teams to deliver high-quality data solutions
Experience with SQL, Spark, Python, Databricks, Data Vault 2.0","C, DataBricks, Python, R, SQL, Spark",,https://au.jora.com/job/Data-Engineer-0fae869da1dd8f2bb731ed9d79ea44d3
Data Analyst,Australian Customs and Border Protection Service,Australian Capital,Territory,"Analyze biometric systems and thresholds, create reports using SQL
Utilize Excel/Python for data visualization, manage secure biometric data
Establish relationships with stakeholders, provide technical biometric advice","C, Excel, Python, R, SQL",,https://au.jora.com/job/Data-Analyst-d4f78306b0b0905f15bd1fb7d7eb83f7
Billing &amp; Data Analyst,APM Terminals,South,Australia,"Ensure accurate billing process compliance with contracts and regulations
Analyze financial and operational data to improve efficiency
Degree in Finance, 2+ years billing experience, advanced Excel skills","C, Excel, R",2,https://au.jora.com/job/Data-Analyst-15f64fcd01a7b1b37e8da24d66e78c20
Senior Data Analyst,Crime and Corruption Commission QLD,Fortitude Valley,QLD,"Desirable tertiary qualifications in business intelligence, data science, IT
Minimum 2 years' experience in SQL, PowerBI, Tableau
Ability to apply statistical techniques, communicate with technical audiences","C, R, SQL, Tableau",2,https://au.jora.com/job/Data-Analyst-9bd193e653a07970139e86100ce3ac0f
Data Analyst / Report Writer,ASC,Osborne,SA,"Provide data analytics and reporting for Capability Development Program
Collaborate on workforce planning and resource allocation with analysts
Experience in defense, manufacturing, mining, or construction desired.","C, R",,https://au.jora.com/job/Report-Writer-10f1047b560e8cc739f92b4a827318e2
Business Analyst,Mental Health First Aid Australia,Melbourne,VIC,"Conduct business analysis and process mapping for operational improvements
Minimum 5 years experience in business/data analysis; strong SQL skills
Support system implementations, data integrity, and business intelligence","C, R, SQL",5,https://au.jora.com/job/Business-Analyst-01db02974421dd3dc4a391edf96fdf52
Senior Data Analyst,Mane Consulting,Sydney,NSW,"Utilize SQL, Python for data analysis and reporting solutions
Experience in Consumer Banking and Tableau visualization beneficial
5+ years in analytical role, translating business processes into data","C, Python, R, SQL, Tableau",5,https://au.jora.com/job/Data-Analyst-25a24008f4762550daad0da382fcf4fd
NGO Data & Policy Officer,Youth Empowered Towards Independence,Cairns,QLD,"Lead data integration & management for improved service delivery
Analyze data to drive program performance & generate actionable insights
Develop policies aligned with data insights & ensure compliance standards","C, R",,https://au.jora.com/job/Policy-Officer-620a9fa3f2fadea25cb0c086b6129898
Junior Finance Analyst - Master Data Management & Charge Out Rates,DLA Piper,Brisbane,QLD,"Support Master Data and Charge out Rates teams in APAC
Communicate with internal and external customers, meet SLA's
1 year finance experience, MS Office, SAP, Shared Service Center","C, R, SAP",1,https://au.jora.com/job/Junior-Finance-Analyst-1a86d1f2b9eef1cee2ec73209dd5489f
Data Analyst,Data#3,Sydney,NSW,"Analyze and process large datasets for cloud cost analysis
Develop ETL processes in AWS environment, create governance frameworks
Experience in cloud governance, SQL, data visualization tools required","AWS, C, ETL, Go, R, SQL",,https://au.jora.com/job/Data-Analyst-a771090008c05dd8301aaf2e53792d0b
Payroll Data Analyst,Sharp and Carter,Docklands,VIC,"Utilize ADP PayForce & Humanforce for end-to-end payroll processing
Analyze data, create reports, ensure accuracy, and drive decisions
Collaborate on projects, support system upgrades, and maintain compliance","C, R",,https://au.jora.com/job/Data-Analyst-5e3b812137bd15e8ceaf042af391eef8
Technical Data Analyst,Cashrewards,Sydney,NSW,"Build analytics capability on selected projects across all departments
Partner with business for decision-making support and long-term analytics
Experience in IT or analytics industry, proficiency in SQL, Power BI","C, Power BI, R, SQL",,https://au.jora.com/job/Technical-Data-Analyst-514bccd0e2f69f2d86f705a7a3fbdebf
"Principal Project Officer-Clinical Audit and Data Analyst, Queensland Health",Queensland Health,Herston,QLD,"Develop and maintain systems for collecting program outcome measures
Provide progress reports to clinical and executive stakeholders
Utilize software for data analysis, reporting, and program evaluation","C, R",,https://au.jora.com/job/Project-Officer-b71af973cf87e73da7da78f9cd6c71f1
Production - Cost & Data Analyst,NPAworldwide,Melbourne,VIC,"Transform traditional bakery into data-driven operation
Bridge artisanal baking with cutting-edge business analytics
Optimize costs, implement ingredient improvements, and reduce waste","C, R",,https://au.jora.com/job/Data-Analyst-8e47454754c4d403c99845088c5706e2
Senior Data Analyst / IT Business Analyst,Westpac Bank,Sydney,NSW,"5+ years Data Analysis, 3+ years IT Business Analysis
Experience in Data Analytics, SQL, ETL, Agile, Waterfall
Financial services experience, strong communication and problem-solving skills","Agile, C, ETL, R, SQL, communication",5,https://au.jora.com/job/Data-Analyst-7741ddcb553e20cd726f630ae433eff0
Data Modeller,Hudson,Brisbane,QLD,"Design and develop Data Assets definitions with stakeholders
Maintain Data Dictionary, Meta Data libraries, and data modelling standards
Collaborate on large ICT programs, use data modelling tools","C, R",,https://au.jora.com/job/Data-Modeller-16eec5af3d036b68ec8faf4a4f6ec603
Data Analyst,XPT Software,Sydney,NSW,"Design, analyze, and deliver data insights for large projects
Experience in SAS migration, data quality profiling, metadata management
Expertise in data governance, data management, and data visualization","C, Go, R, SAS",,https://au.jora.com/job/Data-Analyst-86156ef48e0597e9a3d297fe1c3c2d1e
Data Analyst,Tech Mahindra,Sydney,NSW,"Experience in Informatica Products preferred, especially EDC/Power Center/MDM
Strong SQL proficiency for data querying, joining, and transformation
Knowledge of data governance, metadata management, and data lineage","C, Go, R, SQL",,https://au.jora.com/job/Data-Analyst-67b0004637dccbdf0278ab33cb20c136
Analyst,PMSI PTY LTD,West Perth,WA,"Transforming, modeling data for decision support on strategic issues
Create visuals, presentations to aid client insight comprehension.
Strong technical skills in Microsoft SQL, Excel; experience with BI tools","C, Excel, R, SQL",,https://au.jora.com/job/Analyst-503d79411fc4b2a103631d378678774f
Junior Finance Analyst,TOMRA,St Leonards Park,NSW,"Collect and analyze financial, economic, and activity data
Engage with internal and external stakeholders, present reports
Ideal candidates have past experience, finance degree, analytical mindset","C, R",,https://au.jora.com/job/Junior-Finance-Analyst-1c00a0dd3313031b10b454baf3afeaeb
Functional Data Analyst,Peoplebank,Brisbane,QLD,"Lead data migration from legacy systems to SAP EAM
Collaborate with functional teams for data design and validation
5+ years SAP EAM experience, stakeholder engagement, workshop facilitation","C, R, SAP",5,https://au.jora.com/job/Data-Analyst-de029dc70a71a23dfc398f113419c202
Senior Reporting Analyst,City Facilities Management,Mulgrave,VIC,"Lead emissions reporting and data visualisations using Power BI
Analyse complex datasets to support operational and strategic outcomes
Bachelor's degree in data analysis or related field required","C, Power BI, R",,https://au.jora.com/job/Reporting-Analyst-65958069d87b9db5e18abdbb3b793809
Senior Data Analyst / Engineer,West Recruitment,New South,Wales,"Utilize data analytics for uncovering insights and creating dashboards
Assist customers with onboarding, resolving queries, and providing support
Skills in SQL, Tableau, ETL, API's, and project management","C, ETL, R, SQL, SSIS, Tableau",,https://au.jora.com/job/Analyst-Engineer-118183af0274243820ac1526ca657595
Data Analyst,Motion Recruitment,Melbourne,VIC,"Create impactful Tableau dashboards for business insights
Utilize SQL for data analysis and meaningful insights extraction
Collaborate with stakeholders to transform data into strategic insights","C, R, SQL, Tableau",,https://au.jora.com/job/Data-Analyst-a1085c06b07fc5967aba61de3bb1c588
Data Analyst / Applied Statistician / Programmer,Kirra Services,Australian Capital,Territory,"Extracting, processing data for biosecurity risk, control, expenditure modelling
Developing, maintaining models in R or Python, collaborating on projects
Communicating model results, documenting approaches, strategic thinker","C, Python, R",,https://au.jora.com/job/Data-Analyst-31aaf66cc5da906a43da3b9b64167823
"Fraud Data Analyst - Payments - 12 Month FTC - Perth - Hybrid - $150,000",Tech & Data People,Perth,WA,"Analyze hospital claims data for fraudulent activities and anomalies
Collaborate with internal teams, healthcare providers, and regulatory bodies
Proficiency in SQL, Python, Excel, Tableau/Power BI for analysis","C, Excel, Power BI, Python, R, SQL, Tableau",,https://au.jora.com/job/Data-Analyst-ec1266012710bc14d98eb61d0d28563d
APS6 Lead Business Intelligence Analyst,Talent International,Surry Hills,NSW,"Lead design, build, and implementation of reports and dashboards
Provide technical expertise, influence business process, and mentor analysts
Extensive data analysis and programming experience, familiarity with data tools","C, R",,https://au.jora.com/job/Business-Intelligence-Analyst-63da8e50f468efba215d4ef60541d368
Digital Optimisation (CRO) Analyst,Employment Hero,Australia,,"Drive improvements to online user experience and conversion rates
Analyse data, conduct A/B testing, and generate conversion reports
Lead tracking implementation, dashboard development, and data analysis","C, R",,https://au.jora.com/job/Analyst-ea4127eefb8fba4f9f5d15f16dc7acf6
Reporting & Data Analyst - Sales (24m),VGA,Sydney,NSW,"Develop sales analytics and data visualizations using Power BI
Tertiary qualification in relevant field and experience in automotive sector
Support strategic projects, provide data insights, and prepare presentations","C, Power BI, R",,https://au.jora.com/job/Data-Analyst-684eb5685a72551cc3ba00b62b7a0c60
HR Data and Reporting Analyst,The University of Sydney,Camperdown,NSW,"Analyze and report on staff and affiliate data
Utilize PowerBI and SQL for report development and analysis
Experience in data manipulation and insights generation required","C, R, SQL",,https://au.jora.com/job/Data-and-Reporting-Analyst-64d60b91f604661c149d6b4dfb37b78d
Data Analyst | Power BI | AWS,Ingrity,Sydney,NSW,"Analyze marketing, telephony, and complaints data for insights
Create visualizations and reports using Power BI, SQL, Python
3+ years experience in data analytics; SQL, Power BI proficiency","C, Power BI, Python, R, SQL",3,https://au.jora.com/job/Data-Analyst-6dd58e26e78b4fd494a8725be9a4fd2c
Senior Data Analyst,Alffie,Southbank,VIC,"Develop data solutions using Snowflake, SQL, and MySQL
Create dynamic reports with Power BI; manage Snowflake environments
Collaborate with stakeholders, drive data-driven decision-making and innovation","C, MySQL, Power BI, R, SQL, Snowflake",,https://au.jora.com/job/Data-Analyst-696a0f6eacfa7e45418a07c3bb9550bb
Data Analyst,Downer,Milton,QLD,"Analyze large datasets to provide insights for decision-making
Develop and maintain Power BI dashboards for reporting needs
Collaborate with stakeholders to enhance data-driven decision making","C, Power BI, R, decision making",,https://au.jora.com/job/Data-Analyst-16be1422885b3d8d2cc774ce5aa35654
ICT Data Analyst,Paxus,Ipswich,QLD,"Develop and maintain data transformation pipelines between systems
Create data models, dashboards, and reports for varied business needs
Expertise in Microsoft SQL Server, Power BI, Tableau, and data governance","C, Go, Power BI, R, SQL, SQL Server, Tableau",,https://au.jora.com/job/Data-Analyst-1a8e065d51a48fa0c12b436c4ccf50fb
Power BI Engineer,Virtusa,Sydney,NSW,"Design and develop advanced BI solutions using Power BI
Perform data analysis, insight generation, and data modeling
Lead projects, mentor junior engineers, and optimize BI solutions","C, Power BI, R",,https://au.jora.com/job/Power-BI-Engineer-5edbe2654d31166d610ab097de242853
BI Developer,Ambulance Victoria,Melbourne,VIC,"Develop complex reports, dashboards, and analysis for AV operations
Experience in data warehouse, business intelligence, and large data sets
Skills in data cleaning, analysis, visualization, and numerical problem-solving","C, R",,https://au.jora.com/job/BI-Developer-d4a6d31f57f953061240c7933b7dd965
Data and Pricing Analyst / 6 Month FTC - Part Time,Konnexus,Melbourne,VIC,"Optimizing pricing strategies and driving commercial performance
Developing data-driven pricing strategies and conducting market analysis
Bachelor's degree in Commerce, Finance, Economics; 3+ years experience required","C, R",3,https://au.jora.com/job/Pricing-Analyst-c7ba576e5099bba443aff965dcfdd259
Data and Analytics Consulting Manager,Visa,Sydney,NSW,"Implement AI-centric solutions using Visa's big data sets
Collaborate with teams to deliver value to Visa and clients
Experience in SQL, Python, Tableau, and Agile way of working","Agile, C, Python, R, SQL, Tableau",,https://au.jora.com/job/Data-and-Analytics-6367c97e965ea1ae1d206d5e6dcd41a1
Media Data Analyst,Dentsu,Sydney,NSW,"Transform data into real-time insights for client's CX & marketing
Proficiency in Python, SQL, Google Analytics, and data visualization
Experience in media analytics, digital marketing, and data science","C, Git, Go, Python, R, SQL",,https://au.jora.com/job/Data-Analyst-78e3513310c4f480bdfba34bf9f075c0
RTR Business Analyst,Treasury Wine Estates,Melbourne,VIC,"Responsible for financial reporting, data analysis, and process optimization
Collaborate with cross-functional teams to optimize financial processes
Advanced Power BI and Excel skills required for automation","C, Excel, Power BI, R",,https://au.jora.com/job/Business-Analyst-a12a47da44950d33db807f10e3dd8f11
Financial Data Analyst,Constantinople,Sydney,NSW,"Ensure accuracy and scalability of finance and regulatory reporting
Collaborate with product and data engineering teams for data inputs
Proficiency in SQL, Python, DBT, Tableau, and Excel required","C, Excel, Python, R, SQL, Scala, Tableau",,https://au.jora.com/job/Financial-Data-Analyst-797007f9ec7f47d9a593a943a233dd25
HRIS Data Analyst,Hays Recruitment,Sydney,NSW,"5+ years HRIS data analyst experience with data migrations
Proficiency in SQL, ETL, reporting (Tableau/Power BI) in cloud
Experience with leading HRIS platforms like Workday, Oracle HCM","C, ETL, Oracle, Power BI, R, SQL, Tableau",5,https://au.jora.com/job/Data-Analyst-fd27521ff2dfd0376158d44ae70e769d
Senior Data Analyst,Talent International,Melbourne,VIC,"Engage in complex problem solving and issues management
Contribute to reporting development and governance processes
Mentor less experienced team members in data analytics field","C, Go, R, problem solving",,https://au.jora.com/job/Data-Analyst-fdd2a9a0cf74098ba10d9665708f63ff
Senior Data Analyst,Wesfarmers OneDigital,Melbourne,VIC,"Develop and validate business hypotheses using large retail data sets
Translate data insights into actionable recommendations for stakeholders
Mentor data analysts, support analytics solutions","C, R",,https://au.jora.com/job/Data-Analyst-6d51d2a27bfa2ed5c3b73506a1f22201
"Lead Analyst, Data Analytics",Anton Murray Consulting,Sydney,NSW,"Lead advanced statistical and quantitative analyses independently
Develop and validate advanced statistical modelling projects with stakeholders
8+ years experience in analytical roles within investment industry required","C, R",8,https://au.jora.com/job/Lead-Analyst-Data-ca16c80d7131ea212af97774b9bcc020
Data Analyst,Ampersand Ltd,Brisbane,QLD,"Analyze, map, and migrate data for ERP implementation projects
Strong experience in data cleansing, ETL processes, and data analysis
Collaborate with stakeholders, troubleshoot data, document processes.","C, ETL, R",,https://au.jora.com/job/Data-Analyst-85096e51d3503b73c9912533bda704fa
